Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Nick Muse (MIN),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armani Rogers (WAS),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Latu (SF),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.J. Jenkins (LV),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Vokolek (ARI),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Johnny Lumpkin (DEN),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller (TB),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tanner Taula (TB),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Samuel Shenker (LV),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Murray (IND),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princeton Fant (DAL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Izaiah Gathings (KC),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La'Michael Pettway (NE),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brady Russell (SEA),TE,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Thomas Odukoya (TEN),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zack Kuntz (NYJ),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ryan Jones (NYG),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayden Willis (SF),TE,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Derek Parish (FA),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Joel Wilson (GB),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Whiteheart (ARI),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Henry Pearson (GB),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Griffin Hebert (PHI),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Long (LAR),TE,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Tre' McKitty (BUF),TE,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Miller Forristall (LAR),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Harris (JAC),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Josh Pederson (JAC),TE,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Ben Mason (BAL),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Kampmoyer (LAC),TE,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zach Davidson (BUF),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernhard Seikovits (ARI),TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
