Player,POS,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G
Laviska Shenault Jr. (CAR),WR,10,10,60,6,14,0,0,12,55,0,0,8,16.5,2.1
Lynn Bowden Jr. (NO),WR,10,15,78,7.8,17,0,0,4,34,0,0,14,16.2,1.2
Ben Skowronek (LAR),WR,6,10,44,7.3,20,1,1,2,9,0,0,16,14.3,0.9
Jason Brownlee (NYJ),WR,5,7,56,11.2,24,1,1,0,0,0,0,6,14.1,2.4
Randall Cobb (NYJ),WR,4,16,35,8.8,15,0,1,0,0,0,0,10,13.5,1.4
D.J. Montgomery (IND),WR,3,8,56,18.7,34,2,1,0,0,0,0,6,13.1,2.2
Tim Jones (JAC),WR,10,16,76,7.6,15,0,0,0,0,0,0,16,12.6,0.8
Keith Kirkwood (NO),WR,5,9,37,7.4,13,0,1,0,0,0,0,13,12.2,0.9
Marquise Goodwin (CLE),WR,4,13,67,16.8,57,4,0,4,33,0,0,12,12,1
Richie James Jr. (KC),WR,8,12,99,12.4,45,3,0,0,0,0,1,8,11.9,1.5
Samori Toure (GB),WR,8,18,78,9.8,35,2,0,0,0,0,1,11,11.8,1.1
Lawrence Cager (NYG),WR,4,5,36,9,10,0,1,0,0,0,0,9,11.6,1.3
Sterling Shepard (NYG),WR,7,17,39,5.6,13,0,1,0,0,0,1,14,11.4,0.8
Isaiah McKenzie (IND),WR,11,14,82,7.5,30,2,0,3,14,0,2,13,11.1,0.9
Trent Sherfield (BUF),WR,8,18,62,7.8,9,0,0,0,0,0,0,16,10.2,0.6
Charlie Jones (CIN),WR,4,6,15,3.8,7,0,0,0,0,0,0,10,9.5,1
Velus Jones Jr. (CHI),WR,4,7,20,5,11,0,0,8,51,0,0,13,9.1,0.7
Jalen Brooks (DAL),WR,5,5,63,12.6,24,1,0,0,0,0,0,6,8.8,1.5
Quez Watkins (PHI),WR,7,10,49,7,15,0,0,0,0,0,0,8,8.4,1.1
Rakim Jarrett (TB),WR,4,9,60,15,41,3,0,1,0,0,0,10,8,0.8
Mecole Hardman Jr. (KC),WR,9,13,47,5.2,12,0,0,1,3,0,1,9,7.5,0.8
Simi Fehoko (LAC),WR,1,2,9,9,9,0,1,0,0,0,0,5,7.4,1.5
DeAndre Carter (LV),WR,3,6,36,12,16,0,0,3,18,0,0,16,6.9,0.4
Equanimeous St. Brown (CHI),WR,4,5,44,11,21,1,0,0,0,0,0,6,6.4,1.1
Tylan Wallace (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,8,6,0.8
Justyn Ross (KC),WR,4,7,36,9,20,1,0,0,0,0,0,9,5.6,0.6
Devin Duvernay (BAL),WR,4,9,18,4.5,10,0,0,4,15,0,0,13,5.3,0.4
Elijah Cooks (JAC),WR,3,4,38,12.7,23,1,0,0,0,0,0,8,5.3,0.7
Keelan Doss (LAC),WR,5,8,25,5,9,0,0,0,0,0,0,4,5,1.3
Mike Strachan (CAR),WR,1,3,45,45,45,3,0,0,0,0,0,4,5,1.3
Jalen Nailor (MIN),WR,3,6,29,9.7,16,0,0,0,0,0,0,6,4.4,0.7
Steven Sims Jr. (HOU),WR,3,3,25,8.3,23,1,0,1,1,0,0,3,4.1,1.4
Marvin Jones Jr. (FA),WR,5,10,35,7,16,0,0,0,0,0,1,6,4,0.7
Zach Pascal (ARI),WR,4,15,19,4.8,9,0,0,0,0,0,0,13,3.9,0.3
Trishton Jackson (MIN),WR,2,4,9,4.5,7,0,0,0,0,0,0,6,3.9,0.7
Miles Boykin (PIT),WR,3,4,17,5.7,6,0,0,0,0,0,0,15,3.2,0.2
Kayshon Boutte (NE),WR,2,7,19,9.5,11,0,0,0,0,0,0,4,2.9,0.7
Austin Trammell (LAR),WR,4,7,29,7.3,14,0,0,0,0,0,1,14,2.9,0.2
Gunner Olszewski (NYG),WR,1,1,0,0,0,0,0,0,0,0,2,11,2.5,0.2
Willie Snead IV (SF),WR,2,3,14,7,9,0,0,0,0,0,0,4,2.4,0.6
Malik Taylor (NYJ),WR,2,4,13,6.5,7,0,0,0,0,0,0,3,2.3,0.8
Erik Ezukanma (MIA),WR,0,1,0,0,0,0,0,5,22,0,0,2,2.2,1.1
Collin Johnson (CHI),WR,1,1,11,11,11,0,0,0,0,0,0,2,1.6,0.8
Cody Thompson (SEA),WR,1,1,10,10,10,0,0,0,0,0,0,6,1.5,0.3
Britain Covey (PHI),WR,1,1,7,7,7,0,0,0,0,0,0,15,1.2,0.1
Mason Kinsey (TEN),WR,1,1,6,6,6,0,0,0,0,0,0,5,1.1,0.2
Colton Dowell (TEN),WR,1,2,3,3,3,0,0,0,0,0,0,9,0.8,0.1
Kwamie Lassiter II (CIN),WR,1,1,2,2,2,0,0,0,0,0,0,1,0.7,0.7
Antoine Green (DET),WR,1,2,2,2,2,0,0,0,0,0,0,8,0.7,0.1
Dee Eskridge (SEA),WR,0,1,0,0,0,0,0,2,5,0,0,4,0.5,0.1
Quinton Bell (MIA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juwann Winfree (IND),WR,0,1,0,0,0,0,0,0,0,0,0,4,0,0
Ashton Dulin (IND),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson (LAR),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Morgan Jr. (CIN),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
David Sills (DEN),WR,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Nsimba Webster (CHI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bachman (HOU),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Smith (ARI),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davion Davis (WAS),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Isabella (BUF),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
N'Keal Harry (MIN),WR,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Kristian Wilkerson (LV),WR,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Jaylon Moore (JAC),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Washington (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Rodgers (FA),WR,0,2,0,0,0,0,0,0,0,0,0,3,0,0
Shi Smith (TEN),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Schwartz (MIA),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Williams (JAC),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dez Fitzpatrick (PIT),WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Chisena (BAL),WR,0,0,0,0,0,0,0,0,0,0,0,1,0,0
